X (m),Y (m),Z (m),Temperature (K)
-7.203125,-1,0,274.0619717
-7.1875,-1,0,274.0619717
-7.171875,-1,0,274.0607378
-7.15625,-1,0,274.0566448
-7.140625,-1,0,274.0594673
-7.125,-1,0,274.0553289
-7.109375,-1,0,274.0532253
-7.09375,-1,0,274.0532253
-7.0625,-1,0,274.0427651
-7.046875,-1,0,274.0382564
-7.03125,-1,0,274.0382564
-7.015625,-1,0,274.0335103
-7,-1,0,274.0355974
-6.984375,-1,0,274.0322916
-6.96875,-1,0,274.0243168
-6.953125,-1,0,274.0243168
-6.9375,-1,0,274.0183964
-6.921875,-1,0,274.0219107
-6.90625,-1,0,274.012708
-6.890625,-1,0,274.012708
-6.875,-1,0,274.0087667
-6.859375,-1,0,274.0025174
-6.84375,-1,0,273.9990566
-6.828125,-1,0,273.9944006
-6.8125,-1,0,273.9961844
-6.796875,-1,0,273.9904549
-6.78125,-1,0,273.9904549
-6.765625,-1,0,273.978352
-6.75,-1,0,273.981685
-6.734375,-1,0,273.9751636
-6.71875,-1,0,273.974068
-6.703125,-1,0,273.9645806
-6.6875,-1,0,273.9645806
-6.671875,-1,0,273.9672446
-6.65625,-1,0,273.9566088
-6.640625,-1,0,273.9566088
-6.625,-1,0,273.9523526
-6.609375,-1,0,273.9426851
-6.59375,-1,0,273.9444813
-6.578125,-1,0,273.9403939
-6.5625,-1,0,273.9383486
-6.546875,-1,0,273.9313413
-6.53125,-1,0,273.9272262
-6.515625,-1,0,273.9288809
-6.5,-1,0,273.9183273
-7.125,-0.984375,0,274.0579949
-6.984375,-0.984375,0,274.0322916
-6.96875,-0.984375,0,274.0350955
-6.953125,-0.984375,0,274.0311488
-6.9375,-0.984375,0,274.0219107
-6.921875,-0.984375,0,274.0219107
-6.90625,-0.984375,0,274.0196889
-6.890625,-0.984375,0,274.0133743
-6.875,-0.984375,0,274.0133743
-6.859375,-0.984375,0,274.0087667
-6.84375,-0.984375,0,274.0079295
-6.828125,-0.984375,0,274.0017682
-6.8125,-0.984375,0,274.0017682
-6.796875,-0.984375,0,273.9961844
-6.78125,-0.984375,0,273.9915331
-6.765625,-0.984375,0,273.9915331
-6.75,-0.984375,0,273.9859218
-6.734375,-0.984375,0,273.9846871
-6.71875,-0.984375,0,273.9776474
-6.703125,-0.984375,0,273.9730713
-6.6875,-0.984375,0,273.9730713
-6.671875,-0.984375,0,273.9623846
-6.65625,-0.984375,0,273.9623846
-6.640625,-0.984375,0,273.9623846
-6.625,-0.984375,0,273.9539044
-6.609375,-0.984375,0,273.9539044
-6.59375,-0.984375,0,273.9492372
-6.578125,-0.984375,0,273.9403939
-6.5625,-0.984375,0,273.9383486
-6.546875,-0.984375,0,273.940755
-6.53125,-0.984375,0,273.9344344
-6.515625,-0.984375,0,273.9288809
-6.5,-0.984375,0,273.9240564
-6.96875,-0.96875,0,274.0412389
